layer_id,value_text,occurrences,proposed_code,match_method,similarity_score
"ACTIONS_EVENTS","Clinician positioning device over patient's face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician positioning glowing device near patient's eye area","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Clinician touching patient's cheek/temple with gloved hand","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Clinician touching patient's nose/upper lip area","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Clinician touching/adjusting patient's face area","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Clinician touching/examining scalp with gloved hand","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Clinician touching/examining scalp with gloved hand","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Clinicians handling small instruments near patient","1","SMILING","trigram","0.625"
"ACTIONS_EVENTS","Clothing pulled back to expose skin for viewing","1","VIEWING_MIRROR","trigram","0.600"
"ACTIONS_EVENTS","Device applied to jaw; syringe held near skin","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Device applied to patient's cheek emitting light","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Device emitting light being applied to patient's cheek/jaw","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Device held against scalp emitting red light","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Device held against skin, emitting light","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Device held near chin and face examined","1","EXAMINING","trigram","0.600"
"ACTIONS_EVENTS","Device held near chin during close examination","1","EXAMINING","trigram","0.600"
"ACTIONS_EVENTS","Device held near scalp with visible aiming point","1","POINTING","trigram","0.778"
"ACTIONS_EVENTS","Device held near/against neck skin emitting light","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Device running with active timer counting down","1","LYING_DOWN","trigram","0.636"
"ACTIONS_EVENTS","Device tip positioned near or touching skin surface","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Device tip touching the patient's cheek while hand steadies skin","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Devices held near face during recording","1","RECORDING_VIDEO","trigram","0.625"
"ACTIONS_EVENTS","Drawing marker lines on scalp","1","MARKING","trigram","0.750"
"ACTIONS_EVENTS","Examining scalp with small instrument","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Facial points and lines are being marked","1","MARKING","trigram","0.750"
"ACTIONS_EVENTS","Finger pointing to and touching tattoo","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Finger pointing to and touching tattoo","1","POINTING","containment","1.000"
"ACTIONS_EVENTS","Gloved finger pressing device control panel","1","USING_DEVICE","trigram","0.769"
"ACTIONS_EVENTS","Gloved hand examining/pointing to marks on skin","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand examining/pointing to marks on skin","1","POINTING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand holding a light-emitting instrument near the person's cheek","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Gloved hand holding device near chin/cheek","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Gloved hand holding scalp near an instrument tip","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Gloved hand holding syringe near woman's cheek while device rests on forehead","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Gloved hand holds syringe near cheek while another hand holds a massage device near forehead","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Gloved hand holds syringe near forehead while another applies a facial device","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Gloved hand holds syringe near jaw, other hand holds pen-like tool","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Gloved hand holds syringe near reclined person's face while other hand presses gauze","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Gloved hand parting hair/touching scalp","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand positioning a device near the cheek/chin","1","USING_DEVICE","trigram","0.600"
"ACTIONS_EVENTS","Gloved hand positioning a light-emitting device near the face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Gloved hand positioning a light-emitting device near the face","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Gloved hand positioning a pointed instrument at the skin","1","POINTING","trigram","0.636"
"ACTIONS_EVENTS","Gloved hand positioning device near chin","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Gloved hand positioning device near chin skin","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Gloved hand positioning device near facial skin","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Gloved hand positioning syringe near jaw while device touches face","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Gloved hand positioning syringe near scalp","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Gloved hand touching cheek near eye shield","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand touching scalp/hair while woman holds phone","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand touching the cheek","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand touching/examining scalp","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand touching/examining scalp","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand touching/parting hair near scalp","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hand working near marked skin area","1","MARKING","trigram","0.615"
"ACTIONS_EVENTS","Gloved hands manipulating hair and holding a device near the scalp","1","USING_DEVICE","trigram","0.600"
"ACTIONS_EVENTS","Gloved hands placed on and examining scalp","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Gloved hands positioning a device against the chin","1","USING_DEVICE","trigram","0.600"
"ACTIONS_EVENTS","Gloved hands touching and positioning the head","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hands touching man's forehead and jaw","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Gloved hands touching/wiping face and neck","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Hairline markings drawn on scalp","1","MARKING","trigram","0.875"
"ACTIONS_EVENTS","Hand adjusting device settings and touching handpiece","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Hand adjusting device settings and touching handpiece","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Hand adjusting device settings on touchscreen","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Hand adjusting device touchscreen/controls","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Hand applying/holding device near neck and patch on back","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Hand holding pointed instrument near scalp","1","POINTING","trigram","0.778"
"ACTIONS_EVENTS","Hand holding syringe near marked scalp while another hand stabilizes head","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Hand placing/adjusting a device and patch on the neck and shoulder","1","USING_DEVICE","trigram","0.600"
"ACTIONS_EVENTS","Hand pointing to/touching control panel","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Hand pointing to/touching control panel","1","POINTING","containment","1.000"
"ACTIONS_EVENTS","Hand pointing/adjusting screen setting, other hand holding handpiece","1","POINTING","containment","1.000"
"ACTIONS_EVENTS","Hand pressing device touchscreen buttons","1","USING_DEVICE","trigram","0.769"
"ACTIONS_EVENTS","Hand pressing touchscreen buttons to adjust settings","1","TOUCHING","trigram","0.778"
"ACTIONS_EVENTS","Hands parting hair and examining scalp","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Hands parting hair and pressing device to scalp","1","USING_DEVICE","trigram","0.769"
"ACTIONS_EVENTS","Head shown reclined and static for viewing","1","VIEWING_MIRROR","trigram","0.600"
"ACTIONS_EVENTS","Head tilted back for scalp photography","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Head tilted downward for the photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Head turning and tilting back","1","TURNING","containment","1.000"
"ACTIONS_EVENTS","Instrument held close to skin, emitting bright light","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Instrument tip held close to/touching skin surface","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Instrument tip held/touching skin near jaw and mouth","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Instrument tip positioned close to/touching skin near jaw","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Instrument tip touching/near skin","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Man holds syringe near reclined woman's face","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Man posing for a photograph, looking to the side","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Man posing for a photograph, looking to the side","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Man standing/posing with eyes closed","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Marking forehead near hairline","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Marking near ear/jaw with a pen-like tool","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Marking near ear/jaw, then phone held to face","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Marking pen held near hairline, hand stabilizing jaw","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Marking pen positioned near hairline while neck is held","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Marking skin with a pen and holding/pressing shoulder","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Marking skin with pen and holding shoulder","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Marking skin with pen and holding shoulder","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Markings drawn on scalp and hairline","1","MARKING","trigram","0.875"
"ACTIONS_EVENTS","Needle tip placed against skin with syringe held by gloved hand","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Parting hair and holding device near scalp","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","People standing and moving in reception","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Person bowing head forward while photographed from above","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person looking off to the side, smiling slightly","1","SMILING","containment","1.000"
"ACTIONS_EVENTS","Person photographing the device screen","1","PHOTOGRAPHING","containment","1.000"
"ACTIONS_EVENTS","Person posed for a profile photograph with hair held back","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person posing for a frontal photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person posing for a frontal photograph","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Person posing for a photograph with eyes closed","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person posing for a photograph with eyes closed","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Person posing for a portrait","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Person pressing device touchscreen","1","USING_DEVICE","trigram","0.769"
"ACTIONS_EVENTS","Person pressing touchscreen buttons on device","1","TOUCHING","trigram","0.778"
"ACTIONS_EVENTS","Person reclining for a photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person seated and still for the photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person sitting still for overhead photograph","1","SITTING","containment","1.000"
"ACTIONS_EVENTS","Person sitting still for overhead photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person sitting still, looking off to the side","1","SITTING","containment","1.000"
"ACTIONS_EVENTS","Person sitting, gazing to the side","1","SITTING","containment","1.000"
"ACTIONS_EVENTS","Person standing near a draped patient under light","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Person standing still for a photograph with eyes closed","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Person standing still for a photograph with eyes closed","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person standing still, facing away from camera","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Person standing still, head photographed from above","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Person standing still, head photographed from above","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Person touching device touchscreen with index finger","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Person touching device touchscreen with index finger","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Person turning head between the two frames","1","TURNING","containment","1.000"
"ACTIONS_EVENTS","Person's head bowed forward while being photographed","1","PHOTOGRAPHING","trigram","0.857"
"ACTIONS_EVENTS","Photo being taken of smiling woman","1","SMILING","containment","1.000"
"ACTIONS_EVENTS","Posing for a frontal photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Posing for a frontal photograph","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Practitioner adjusting mask while reaching toward patient's face","1","TOUCHING","trigram","0.667"
"ACTIONS_EVENTS","Practitioner applies a handheld light-emitting device to patient's cheek","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner applies a handheld light-emitting device to patient's cheek","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Practitioner applying device to patient's face while adjusting eyewear","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner applying device to patient's neck/jaw skin","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner holding a syringe near patient's face","1","HOLDING_SYRINGE","trigram","0.882"
"ACTIONS_EVENTS","Practitioner holding and positioning device near client's forehead","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner holding device against patient's cheek","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner holding device close to patient's face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner holding device near client's cheek","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner holding device near patient's face","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner holding shield and instrument near patient's eye","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Practitioner holding syringe near jaw/neck","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Practitioner holds a syringe near client's forehead while pressing a cotton pad","1","HOLDING_SYRINGE","trigram","0.632"
"ACTIONS_EVENTS","Practitioner holds a syringe near patient's cheek/jaw across frames","1","HOLDING_SYRINGE","trigram","0.632"
"ACTIONS_EVENTS","Practitioner holds a syringe near the client's cheek/under-eye area","1","HOLDING_SYRINGE","trigram","0.632"
"ACTIONS_EVENTS","Practitioner holds syringe near client's forehead while pressing cotton pad","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Practitioner holds syringe near client's head while client remains still","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Practitioner holds syringe near subject's jaw while subject's head position changes","1","HOLDING_SYRINGE","trigram","0.706"
"ACTIONS_EVENTS","Practitioner parting and examining hair with a tool","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Practitioner parting/examining hair while client checks phone mirror","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Practitioner parts hair with comb while holding a syringe-like instrument near the scalp","1","HOLDING_SYRINGE","trigram","0.882"
"ACTIONS_EVENTS","Practitioner positioning device against patient's arm","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner positioning device near chin","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner positioning device near patient's chin","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner positioning device over head","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Practitioner positioning syringe near client's scalp","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Practitioner positioning syringe near patient's face while device is held on forehead","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Practitioner positions and activates a light-emitting handpiece near patient's face","1","SITTING","trigram","0.625"
"ACTIONS_EVENTS","Practitioner touching client's face/chin","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Practitioner touching patient's forehead and jaw","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Practitioner touching/examining client's face","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Practitioner touching/examining client's face","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Practitioner touching/parting client's hair","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Provider handling small tool near patient's forehead","1","SMILING","trigram","0.625"
"ACTIONS_EVENTS","Provider holding syringe near patient's face while device rests on forehead","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Provider positioning device above client's head","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Scalp bears completed marker markings","1","MARKING","trigram","0.875"
"ACTIONS_EVENTS","Scalp marking with pen; background person holding a bottle near the setting","1","MARKING","containment","1.000"
"ACTIONS_EVENTS","Staff discussing, holding signs, using phone","1","DISCUSSING","containment","1.000"
"ACTIONS_EVENTS","Staff discussing, holding signs, using phone","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Staff handling device and instrument near scalp","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Staff holding phone up, talking to visitor","1","TALKING","containment","1.000"
"ACTIONS_EVENTS","Staff holding phone up, talking to visitor","1","WALKING","trigram","0.625"
"ACTIONS_EVENTS","Staff member examines/positions device near patient's head","1","EXAMINING","trigram","0.600"
"ACTIONS_EVENTS","Staff member handling device near client's scalp","1","USING_DEVICE","trigram","0.692"
"ACTIONS_EVENTS","Staff member holding syringe near patient's face while device rests on forehead","1","HOLDING_SYRINGE","containment","1.000"
"ACTIONS_EVENTS","Staff member leaning over and touching patient's arm while another holds a phone","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Staff member leaning over and touching patient's chin","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Staff member leaning over and touching patient's chin/jaw area","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Staff member leaning over and touching the patient's forehead","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Staff member photographing the visitor at the reception counter","1","PHOTOGRAPHING","containment","1.000"
"ACTIONS_EVENTS","Staff member touching/examining patient's face with gloved hand","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Staff member touching/examining patient's face with gloved hand","1","EXAMINING","containment","1.000"
"ACTIONS_EVENTS","Staff member touching/working on patient's forehead","1","TOUCHING","containment","1.000"
"ACTIONS_EVENTS","Staff standing/sitting at desk, one looking at screen","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Staff standing/sitting at desk, one looking at screen","1","SITTING","containment","1.000"
"ACTIONS_EVENTS","Staff standing/sitting at desk, one looking at screen","1","LOOKING_AT_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Staff standing/working at reception desk","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Standing person leans over and manipulates the seated person's hair/scalp with gloved hands","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Standing, then leaning over desk with phone","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Subject facing camera for a photograph","1","POSING_FOR_CAMERA","trigram","0.722"
"ACTIONS_EVENTS","Subject facing camera for a photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject facing camera for a posed photograph","1","POSING_FOR_CAMERA","trigram","0.800"
"ACTIONS_EVENTS","Subject facing camera for a posed photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject holding head bowed forward for photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject holding head bowed forward for the photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject holding still with eyes closed, head lowered","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Subject holding still with head tilted down for scalp photography","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject holding still with head tilted down for scalp photography","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Subject holding still, facing away from camera","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Subject holding still, head bowed, hair held back by headband","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Subject posed still for profile photograph, eyes closed","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject posed still, facing left, for photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject posing for a photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject posing for a photograph","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Subject posing for a portrait photo","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Subject posing for a still documentation photo","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Subject posing for photo, looking to the side","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Subject posing for portrait","1","POSING_FOR_CAMERA","trigram","0.611"
"ACTIONS_EVENTS","Subject posing still for a photograph with eyes closed","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject reclines in chair looking toward camera","1","LOOKING_AT_CAMERA","trigram","0.600"
"ACTIONS_EVENTS","Subject sitting with head tilted downward for scalp view","1","SITTING","containment","1.000"
"ACTIONS_EVENTS","Subject sitting with head tilted downward, gaze lowered","1","SITTING","containment","1.000"
"ACTIONS_EVENTS","Subject standing still with eyes closed for a photo","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Subject standing still with eyes closed for a posed photo","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Subject standing still with eyes closed for photograph","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Subject standing still with eyes closed for photograph","1","PHOTOGRAPHING","trigram","0.714"
"ACTIONS_EVENTS","Subject standing still with eyes closed, mouth slightly open","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Subject standing still, eyes closed, facing right","1","STANDING","containment","1.000"
"ACTIONS_EVENTS","Subject's head being photographed from above with head tilted forward","1","PHOTOGRAPHING","trigram","0.857"
"ACTIONS_EVENTS","Syringe held close to bandaged nose","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Syringe held in contact with shoulder skin","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Syringe held near cheek; device held near forehead","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Syringe held near face while gauze presses cheek","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Syringe held near neck skin","1","HOLDING_SYRINGE","trigram","0.600"
"ACTIONS_EVENTS","Syringe held near patient's face","1","HOLDING_SYRINGE","trigram","0.600"
