"ordinal","asset_id","filename","local_classification","confidence","patient_context","procedure_context","sensitive_text","external_ai_current","human_decision","reviewer","reviewed_at","notes"
"41","029c7315-b1a6-41f6-bb48-f1a91b492571","IMG_0588.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"42","3bd93653-e898-40f3-bb98-d032d98efbc9","IMG_0561.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"43","9ff1a1c9-12dc-46b2-bae6-19700b1a9fda","IMG_1456.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"44","5c307427-96f0-4d8f-91b7-ee8a3f46a1f9","IMG_1251.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"45","60d5b14c-6af3-48de-9c1b-d206d58577f2","IMG_3589.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"46","a638976f-eb2e-4ccc-8b5a-853c1b983819","IMG_0581.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"47","2b889768-fcef-49a5-92e8-e07d2fb4523d","IMG_1387.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"48","b8aa4f3f-f15e-41e6-8bcd-945721d1d266","IMG_0613.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"49","3e862e29-89b3-44c1-8599-a41b708cb27d","IMG_3562.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"50","7c1d3343-916e-4f8b-a7a5-c1e14c2bf61f","IMG_3413.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"51","65cb622d-62ec-486b-a82e-9484dc1e6aad","IMG_1457.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"52","a0c1e8dd-ec8f-4551-91ab-1df0fd814a9f","IMG_0962.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"53","7499b057-094b-4d3e-af16-4ea527729b2f","IMG_3580.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"54","29e582db-a7e5-45d6-a09e-65f18756fbd2","IMG_0990.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"55","74f471bd-f98c-4eef-8fac-e0a53d3598fb","IMG_0487.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"56","38c0d310-ff70-4a92-a4fc-f852492392dc","IMG_9753.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"57","ab33f399-1434-419d-9404-d29f002aae1f","IMG_3593.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"58","fb423f4b-71bd-477f-aef0-a921ad250abb","IMG_7164.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"59","e8afda41-b91c-4983-ad83-0b361a66d627","IMG_1051.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"60","34c508b7-e7c9-4caa-949a-ab6bd4a6e1e4","IMG_0630.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"61","05c43d14-c1dc-4e78-bf88-0ef8ddbcd443","IMG_0609.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"62","fb04588d-768e-4209-9cd8-72fdaa36124d","IMG_1435.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"63","072ac47e-95b7-49e0-b727-9242cb2d3003","IMG_2943.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"64","507154af-eeb9-446a-aa3f-29b630537ec4","IMG_0585.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"65","13b619e3-90cc-4f51-9f6d-11cfcf2a0ee2","IMG_2127.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"66","c6903572-38f4-472c-b9a1-9275d621aa8f","IMG_3567.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"67","e897b877-fe6a-481d-982d-65909721cfcc","IMG_0565.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"68","150a1293-8c95-462a-9c18-ca05334a9b7c","IMG_0579.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"69","03561ba7-51a4-4842-8065-efddb212adc0","IMG_0598.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"70","0fb278de-3932-41a0-bbd1-4dbeb5fcaac1","IMG_0548.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"71","7db917d1-13f9-4540-a835-9b9a7c2c2842","IMG_4105.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"72","8cf7fc40-404a-4d2e-9fc9-afd64d933519","IMG_0603.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"73","d71556bf-21e1-4b5b-b882-5c65a32e6574","IMG_0545.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"74","8d8351e3-5056-4b0f-b744-08c14ca97ed8","IMG_0503.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"75","3546e355-f5b2-4e96-9e8c-3c5aec9c2f60","IMG_0586.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"76","3df4b901-d6b4-426e-a944-6e4145fc054b","IMG_0610.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"77","ec50bd69-1b3a-46b7-89e5-d1c45ca3970f","IMG_1438.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"78","3c344333-0c18-4468-9d5c-5896829f9d4c","IMG_1353.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"79","776e43e0-fe1f-4aa7-9f38-0d9b34c4e386","IMG_1252.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"80","ab401b88-4523-4826-bb0f-661fe7833eed","IMG_0547.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"81","60088419-380a-4f3c-85e9-0cfffd361a16","IMG_1258.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"82","53ccff00-d55b-48c4-8a17-08d8a406f97f","IMG_0974.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"83","88d2246d-8c12-4731-ac3a-bc53be3f7d80","IMG_9770.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"84","35706183-c87e-4130-af61-27bf619aa39d","IMG_2148.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"85","a4cd136b-5f78-4f55-bde0-32cbb3704a60","IMG_1045.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"86","252aacfe-a64c-458a-84eb-2d1f707e1803","IMG_2149.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"87","c39b6767-ca7e-4aea-a795-f9a54b21481a","IMG_0593.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"88","c353f5fc-6906-4af7-b828-f8f8869fe297","IMG_0963.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"89","f06838c4-e932-464e-bb57-2b240735e970","IMG_1259.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"90","b8df60ec-e4f7-4a78-a866-4c8359be4042","IMG_3394.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"91","7fa4a445-220e-4f33-a10e-10ab3b942a47","IMG_1348.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"92","6f78965b-4cde-4bed-8475-0ed918e90192","IMG_1980.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"93","665e93ed-2aea-492e-9357-a9aee8e7bfd1","IMG_9768.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"94","bfba4d91-0cfd-4d61-91f1-014e76c2970a","IMG_9761.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"95","ccfc6b3d-03fa-4261-b8df-cb23fe52716f","IMG_0571.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"96","a26b9354-902d-4394-a54f-467e7e8954f5","IMG_9765.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"97","4f0b48b3-81a4-4887-af57-eef3d8de7891","IMG_1159.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"98","a8dd3bc8-7d60-4811-b710-e9799a6a521b","IMG_1256.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"99","f0f12a6e-ccbd-49bc-9cff-bd7eb4443eee","IMG_0572.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"100","11062ffb-7570-42cf-aeff-3a755a2ac000","IMG_1049.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"101","59b263d1-a589-41e6-b414-46e6f1281062","IMG_0542.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
"102","10f2a003-1a80-409e-ba8e-b3bff4025810","IMG_0601.MP4","UNCERTAIN","LOW","NOT_DETERMINED_LOCALLY","NOT_DETERMINED_LOCALLY","NOT_EVALUATED_LOCALLY","NOT_REVIEWED","APPROVE","KDI_OPERATOR","2026-09-08T02:31:08Z","Authorized for controlled KDI Claude semantic indexing only; consent, marketing, download and broader rights unchanged."
